folder	pair_index	stage	job_id	gen	out
scoreDT	1	gen_repair	11099158	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/metrics
scoreDT	1	metrics	11104607	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/metrics
scoreDT	2	run	10884228	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/metrics
scoreDT	2	gen_repair	11099158	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/metrics
scoreDT	2	metrics	11104608	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/metrics
scoreDT	3	run	10884228	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/metrics
scoreDT	3	gen_repair	11099158	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/metrics
scoreDT	3	metrics	11104609	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/metrics
scoreDT	4	run	10884228	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/metrics
scoreDT	4	gen_repair	11099158	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/metrics
scoreDT	4	metrics	11104610	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/metrics
scorex0	0	run	10803830	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/metrics
scorex0	0	gen_repair	10804141	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/metrics
scorex0	0	metrics	11104611	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/metrics
scorex0	1	run	10803830	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.8/test/metrics
scorex0	1	gen_repair	10804159	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.8/test/metrics
scorex0	1	metrics	11104612	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.8/test/metrics
scorex0	2	run	10803830	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.6/test/metrics
scorex0	2	gen_repair	10804156	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.6/test/metrics
scorex0	2	metrics	11104613	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.6/test/metrics
scorex0	3	run	10803830	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.4/test/metrics
scorex0	3	gen_repair	10804158	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.4/test/metrics
scorex0	3	metrics	11104614	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.4/test/metrics
scorex0	4	run	10803830	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/metrics
scorex0	4	gen_repair	10804140	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/metrics
scorex0	4	metrics	11104615	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:0.2/test/metrics
add	0	wer	11104616_0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/metrics
add	0	utmosv2	11104618_0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/metrics
add	1	wer	11104616_1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/metrics
add	1	utmosv2	11104618_1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/metrics
add	2	wer	11104616_2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/metrics
add	2	utmosv2	11104618_2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/metrics
blur	0	wer	11104616_3	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/metrics
blur	0	utmosv2	11104618_3	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/metrics
blur	1	wer	11104616_4	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/metrics
blur	1	utmosv2	11104618_4	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/metrics
blur	2	wer	11104616_5	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/metrics
blur	2	utmosv2	11104618_5	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/metrics
fmDT	0	wer	11104616_11	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/metrics
fmDT	0	utmosv2	11104618_11	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/metrics
levy	0	wer	11104616_12	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/metrics
levy	0	utmosv2	11104618_12	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/metrics
levy	1	wer	11104616_13	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/metrics
levy	1	utmosv2	11104618_13	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/metrics
mask	0	wer	11104616_14	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/metrics
